10000,40.810081,-73.845697|
10001,40.511868,-73.992751|
10002,40.730655,-73.770715|
10003,40.746407,-74.136807|
10004,40.802948,-73.877799|
10005,40.7395,-74.074315  |
10006,40.569535,-73.772004|
10007,40.831687,-73.944781|
10008,40.537262,-74.201743|
10009,40.765445,-73.701871|
10010,40.568321,-74.029394|
10011,40.79896,-73.978039 |
10012,40.667863,-74.200741|
10013,40.86894,-73.704874 |
10014,40.656732,-73.917797|
10015,40.738619,-74.060642|
10016,40.755311,-73.924628|
10017,40.772643,-74.021987|
10018,40.695268,-74.251161|
10019,40.830215,-73.99221 |
10020,40.788236,-74.11979 |
10021,40.739147,-73.96838 |
10022,40.721504,-74.103401|
10023,40.809458,-74.195175|
10024,40.621886,-73.935676|
10025,40.78571,-74.064313 |
10026,40.600352,-73.819037|
10027,40.766635,-74.136415|
10028,40.741539,-73.920269|
10029,40.704251,-74.063851|
10030,40.512433,-73.93172 |
10031,40.771713,-74.097022|
10032,40.648671,-74.203193|
10033,40.615714,-74.032772|
10034,40.577834,-74.15185 |
10035,40.666648,-74.113308|
10036,40.8475,-73.721653  |
10037,40.799361,-73.725477|
10038,40.618638,-73.805956|
10039,40.515389,-73.987038|
10040,40.779916,-74.040591|
10041,40.525581,-73.823188|
10042,40.746906,-73.739637|
10043,40.530172,-73.98    |
10044,40.530137,-74.198081|
10045,40.675666,-73.794906|
10046,40.603245,-73.710551|
10047,40.64363,-73.981624 |
10048,40.839331,-73.713923|
10049,40.499811,-74.039889|
10050,40.779901,-74.237545|
10051,40.728498,-73.735462|
10052,40.763426,-74.173368|
10053,40.891583,-74.125287|
10054,40.632625,-73.715909|
10055,40.824253,-74.083512|
10056,40.79431,-74.246277 |
10057,40.686105,-73.852149|
10058,40.519077,-73.837011|
10059,40.772731,-73.896822|
10060,40.53693,-73.845491 |
10061,40.699564,-74.01317 |
10062,40.567051,-73.76607 |
10063,40.49502,-73.765174 |
10064,40.800719,-74.208716|
10065,40.868265,-74.015089|
10066,40.798534,-73.801677|
10067,40.564521,-73.819629|
10068,40.545068,-73.956021|
10069,40.813693,-73.99009 |
10070,40.510912,-73.705759|
10071,40.834904,-74.095863|
10072,40.912015,-73.994874|
10073,40.496845,-74.024264|
10074,40.688296,-73.874253|
10075,40.718648,-74.073827|
10076,40.555271,-73.76071 |
10077,40.673081,-74.144719|
10078,40.716113,-74.127187|
10079,40.661845,-73.836889|
10080,40.656278,-74.152145|
10081,40.859994,-74.121126|
10082,40.820751,-74.046768|
10083,40.881702,-74.178624|
10084,40.49268,-73.801869 |
10085,40.590973,-74.244426|
10086,40.529255,-73.92033 |
10087,40.868276,-73.901632|
10088,40.735172,-74.255558|
10089,40.544704,-74.047754|
10090,40.861715,-73.938603|
10091,40.563184,-73.959557|
10092,40.728441,-74.086237|
10093,40.843371,-74.240468|
10094,40.75602,-73.888782 |
10095,40.758031,-73.707981|
10096,40.881126,-74.19244 |
10097,40.697747,-74.211408|
10098,40.649384,-74.22331 |
10099,40.78686,-73.874789 |
10100,40.727219,-74.2294  |
10101,40.541318,-73.886481|
10102,40.896776,-73.80183 |
10103,40.64466,-74.186088 |
10104,40.712556,-74.121752|
10105,40.633583,-73.962441|
10106,40.580634,-73.97681 |
10107,40.502779,-73.846078|
